trial_id,first_ratings,group_ratings,second_rating,w_first,w_group
1,0,0,1,0.5,0.1
2,3,4,6,0.5,0.1
3,6,7,4,0.5,0.1
4,0,2,0,0.5,0.1
5,1,3,5,0.5,0.1
6,4,4,4,0.5,0.1
7,6,6,7,0.5,0.1
8,2,0,0,0.5,0.1
9,5,6,7,0.5,0.1
10,1,2,0,0.5,0.1
11,2,4,3,0.5,0.1
12,2,0,2,0.5,0.1
13,0,0,0,0.5,0.1
14,4,6,5,0.5,0.1
15,4,3,4,0.5,0.1
16,1,4,6,0.5,0.1
17,5,7,7,0.5,0.1
18,5,4,3,0.5,0.1
19,1,0,1,0.5,0.1
20,6,6,7,0.5,0.1
21,0,0,0,0.5,0.1
22,6,3,4,0.5,0.1
23,4,4,4,0.5,0.1
24,4,2,7,0.5,0.1
25,0,2,2,0.5,0.1
26,0,0,0,0.5,0.1
27,5,3,4,0.5,0.1
28,4,7,5,0.5,0.1
29,4,7,7,0.5,0.1
30,1,0,4,0.5,0.1
31,1,4,3,0.5,0.1
32,5,7,5,0.5,0.1
33,0,0,1,0.5,0.1
34,3,0,0,0.5,0.1
35,6,5,2,0.5,0.1
36,0,1,1,0.5,0.1
37,3,2,2,0.5,0.1
38,2,2,4,0.5,0.1
39,5,3,5,0.5,0.1
40,1,0,0,0.5,0.1
41,1,1,3,0.5,0.1
42,5,7,3,0.5,0.1
43,6,3,4,0.5,0.1
44,3,3,1,0.5,0.1
45,3,1,1,0.5,0.1
46,3,4,6,0.5,0.1
47,1,0,1,0.5,0.1
48,3,1,2,0.5,0.1
49,0,0,0,0.5,0.1
50,6,5,5,0.5,0.1
51,5,2,3,0.5,0.1
52,0,0,0,0.5,0.1
53,7,6,7,0.5,0.1
54,3,6,2,0.5,0.1
55,0,0,1,0.5,0.1
56,6,5,7,0.5,0.1
57,7,7,7,0.5,0.1
58,5,4,4,0.5,0.1
59,1,2,5,0.5,0.1
60,6,5,6,0.5,0.1
61,2,0,1,0.5,0.1
62,1,0,2,0.5,0.1
63,5,5,6,0.5,0.1
64,7,5,6,0.5,0.1
65,7,5,5,0.5,0.1
66,5,7,6,0.5,0.1
67,1,1,2,0.5,0.1
68,4,5,4,0.5,0.1
69,1,0,1,0.5,0.1
70,5,6,5,0.5,0.1
71,5,7,3,0.5,0.1
72,5,7,6,0.5,0.1
73,0,1,1,0.5,0.1
74,2,3,1,0.5,0.1
75,2,2,2,0.5,0.1
76,7,7,6,0.5,0.1
77,5,7,7,0.5,0.1
78,6,6,7,0.5,0.1
79,6,7,2,0.5,0.1
80,3,3,4,0.5,0.1
81,5,7,7,0.5,0.1
82,7,5,7,0.5,0.1
83,6,3,5,0.5,0.1
84,2,1,2,0.5,0.1
85,0,0,1,0.5,0.1
86,3,5,1,0.5,0.1
87,4,1,3,0.5,0.1
88,7,7,7,0.5,0.1
89,0,3,0,0.5,0.1
90,7,7,4,0.5,0.1
91,0,0,0,0.5,0.1
92,6,5,7,0.5,0.1
93,5,5,7,0.5,0.1
94,3,6,3,0.5,0.1
95,6,7,7,0.5,0.1
96,4,4,6,0.5,0.1
97,4,1,1,0.5,0.1
98,3,0,1,0.5,0.1
99,5,6,6,0.5,0.1
100,4,5,2,0.5,0.1
101,3,0,0,0.5,0.1
102,3,4,6,0.5,0.1
103,7,7,7,0.5,0.1
104,0,0,0,0.5,0.1
105,4,6,5,0.5,0.1
106,4,2,7,0.5,0.1
107,6,3,6,0.5,0.1
108,5,6,6,0.5,0.1
109,0,1,1,0.5,0.1
110,0,2,0,0.5,0.1
111,6,7,7,0.5,0.1
112,6,4,5,0.5,0.1
113,2,4,0,0.5,0.1
114,5,7,7,0.5,0.1
115,1,2,4,0.5,0.1
116,1,0,3,0.5,0.1
117,7,7,5,0.5,0.1
118,2,4,1,0.5,0.1
119,7,7,7,0.5,0.1
120,5,3,5,0.5,0.1
121,1,2,7,0.5,0.1
122,7,7,7,0.5,0.1
123,6,7,6,0.5,0.1
124,6,6,4,0.5,0.1
125,3,3,5,0.5,0.1
126,2,0,5,0.5,0.1
127,4,2,7,0.5,0.1
128,1,1,0,0.5,0.1
129,1,0,1,0.5,0.1
130,0,0,0,0.5,0.1
131,2,1,3,0.5,0.1
132,2,0,3,0.5,0.1
133,1,4,4,0.5,0.1
134,6,3,7,0.5,0.1
135,1,3,1,0.5,0.1
136,4,6,2,0.5,0.1
137,7,7,6,0.5,0.1
138,1,1,0,0.5,0.1
139,7,6,6,0.5,0.1
140,4,5,5,0.5,0.1
141,3,2,4,0.5,0.1
142,6,7,7,0.5,0.1
143,6,3,7,0.5,0.1
144,7,4,7,0.5,0.1
145,4,7,7,0.5,0.1
146,3,0,1,0.5,0.1
147,5,7,2,0.5,0.1
148,7,7,7,0.5,0.1
149,0,1,2,0.5,0.1
150,2,2,1,0.5,0.1
151,1,4,2,0.5,0.1
152,2,5,5,0.5,0.1
153,2,2,1,0.5,0.1
