trial_id,first_ratings,group_ratings,second_rating,w_first,w_group
1,0,0,0,0.8,2
2,3,4,1,0.8,2
3,6,7,6,0.8,2
4,0,2,2,0.8,2
5,1,3,3,0.8,2
6,4,4,7,0.8,2
7,6,6,7,0.8,2
8,2,0,0,0.8,2
9,5,6,4,0.8,2
10,1,2,2,0.8,2
11,2,4,1,0.8,2
12,2,0,0,0.8,2
13,0,0,0,0.8,2
14,4,6,5,0.8,2
15,4,3,5,0.8,2
16,1,4,6,0.8,2
17,5,7,6,0.8,2
18,5,4,3,0.8,2
19,1,0,0,0.8,2
20,6,6,7,0.8,2
21,0,0,1,0.8,2
22,6,3,2,0.8,2
23,4,4,4,0.8,2
24,4,2,2,0.8,2
25,0,2,0,0.8,2
26,0,0,0,0.8,2
27,5,3,6,0.8,2
28,4,7,6,0.8,2
29,4,7,5,0.8,2
30,1,0,1,0.8,2
31,1,4,4,0.8,2
32,5,7,7,0.8,2
33,0,0,0,0.8,2
34,3,0,0,0.8,2
35,6,5,5,0.8,2
36,0,1,0,0.8,2
37,3,2,2,0.8,2
38,2,2,2,0.8,2
39,5,3,3,0.8,2
40,1,0,1,0.8,2
41,1,1,1,0.8,2
42,5,7,7,0.8,2
43,6,3,6,0.8,2
44,3,3,3,0.8,2
45,3,1,2,0.8,2
46,3,4,2,0.8,2
47,1,0,0,0.8,2
48,3,1,3,0.8,2
49,0,0,0,0.8,2
50,6,5,7,0.8,2
51,5,2,3,0.8,2
52,0,0,0,0.8,2
53,7,6,7,0.8,2
54,3,6,7,0.8,2
55,0,0,0,0.8,2
56,6,5,6,0.8,2
57,7,7,6,0.8,2
58,5,4,7,0.8,2
59,1,2,1,0.8,2
60,6,5,4,0.8,2
61,2,0,1,0.8,2
62,1,0,0,0.8,2
63,5,5,5,0.8,2
64,7,5,3,0.8,2
65,7,5,7,0.8,2
66,5,7,7,0.8,2
67,1,1,0,0.8,2
68,4,5,4,0.8,2
69,1,0,0,0.8,2
70,5,6,6,0.8,2
71,5,7,7,0.8,2
72,5,7,7,0.8,2
73,0,1,0,0.8,2
74,2,3,3,0.8,2
75,2,2,1,0.8,2
76,7,7,7,0.8,2
77,5,7,7,0.8,2
78,6,6,7,0.8,2
79,6,7,7,0.8,2
80,3,3,2,0.8,2
81,5,7,6,0.8,2
82,7,5,5,0.8,2
83,6,3,1,0.8,2
84,2,1,0,0.8,2
85,0,0,0,0.8,2
86,3,5,3,0.8,2
87,4,1,3,0.8,2
88,7,7,7,0.8,2
89,0,3,0,0.8,2
90,7,7,7,0.8,2
91,0,0,0,0.8,2
92,6,5,4,0.8,2
93,5,5,5,0.8,2
94,3,6,6,0.8,2
95,6,7,7,0.8,2
96,4,4,5,0.8,2
97,4,1,0,0.8,2
98,3,0,0,0.8,2
99,5,6,7,0.8,2
100,4,5,3,0.8,2
101,3,0,1,0.8,2
102,3,4,2,0.8,2
103,7,7,7,0.8,2
104,0,0,0,0.8,2
105,4,6,6,0.8,2
106,4,2,4,0.8,2
107,6,3,4,0.8,2
108,5,6,6,0.8,2
109,0,1,0,0.8,2
110,0,2,0,0.8,2
111,6,7,7,0.8,2
112,6,4,5,0.8,2
113,2,4,5,0.8,2
114,5,7,7,0.8,2
115,1,2,3,0.8,2
116,1,0,0,0.8,2
117,7,7,7,0.8,2
118,2,4,0,0.8,2
119,7,7,6,0.8,2
120,5,3,3,0.8,2
121,1,2,1,0.8,2
122,7,7,7,0.8,2
123,6,7,7,0.8,2
124,6,6,6,0.8,2
125,3,3,3,0.8,2
126,2,0,1,0.8,2
127,4,2,3,0.8,2
128,1,1,4,0.8,2
129,1,0,0,0.8,2
130,0,0,0,0.8,2
131,2,1,1,0.8,2
132,2,0,1,0.8,2
133,1,4,1,0.8,2
134,6,3,7,0.8,2
135,1,3,5,0.8,2
136,4,6,7,0.8,2
137,7,7,7,0.8,2
138,1,1,0,0.8,2
139,7,6,6,0.8,2
140,4,5,4,0.8,2
141,3,2,1,0.8,2
142,6,7,6,0.8,2
143,6,3,2,0.8,2
144,7,4,3,0.8,2
145,4,7,6,0.8,2
146,3,0,1,0.8,2
147,5,7,5,0.8,2
148,7,7,7,0.8,2
149,0,1,0,0.8,2
150,2,2,4,0.8,2
151,1,4,0,0.8,2
152,2,5,6,0.8,2
153,2,2,3,0.8,2
